MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Melton Highway,TAYLORS LAKES,ABCD,T
Melton Highway,MELTON,ABCD,May-2025
Melton Road,GISBORNE,ABCD,T
Merriang Road,BEVERIDGE,ABCD,Feb-2025
Midland Highway,EPSOM,ABCD,T
Midland Highway,MOOROOPNA,ABCD,May-2025
Monbulk Road,MOUNT EVELYN,ABCD,T
Montague Street,SOUTH MELBOURNE,ABCD,Feb-2025
Moorooduc Highway,MOUNT ELIZA,ABCD,T
Moreland Street,FOOTSCRAY,ABCD,T
Mornington Peninsula Freeway,PATTERSON LAKES,ABCD,T
Mornington Peninsula Freeway,DROMANA,ABCD,Sep-2024
Mornington-Tyabb Road,TYABB,ABCD,Sep-2024
Mount Pleasant Road,ELTHAM,ABCD,Feb-2025
Murray Valley Highway,YIELIMA,ABCD,Jul-2024
Murray Valley Highway,COBRAM,ABCD,Jul-2024
Murray Valley Highway,BARNAWARTHA,ABCD,Apr-2025
Murray Valley Highway,BUNDALONG,ABCD,Apr-2025
Murray Valley Highway,KOTUPNA,ABCD,Apr-2025
Murray Valley Highway,NATHALIA,ABCD,Apr-2025
Murray Valley Highway,YARRAWONGA,ABCD,Apr-2025
Myrtle Street,MYRTLEFORD,ABCD,Sep-2024
Narracan Drive,NEWBOROUGH,ABCD,Sep-2024
Natimuk Road,HORSHAM,ABCD,May-2025
Navigators Road,NAVIGATORS,ABCD,Aug-2024
Neill Street,BEAUFORT,ABCD,Apr-2025
Nelson Street,NHILL,ABCD,May-2025
Nepean Highway,BRIGHTON EAST,ABCD,T
Nepean Highway,MENTONE,ABCD,T
Nepean Highway,CHELSEA,ABCD,T
Nepean Highway,EDITHVALE,ABCD,T
Nepean Highway,SEAFORD,ABCD,Sep-2024
Nicholson Street,COBURG,ABCD,Apr-2025
Ninth Street,MILDURA,ABCD,Apr-2025
Nolan Street,NORTH BENDIGO,ABCD,Apr-2025
Northern Highway,WALLAN,ABCD,T
Northern Highway,KILMORE,ABCD,Aug-2024
Northern Highway Offramp,BEVERIDGE,ABCD,T
Northgate Drive,THOMASTOWN,ABCD,Feb-2025
Numurkah Road,STRATHMERTON,ABCD,Jul-2024
Oaklands Road,GREENVALE,ABCD,T
Old Geelong Road,HOPPERS CROSSING,ABCD,T
Old Geelong Road,LAVERTON NORTH,ABCD,T
Old Melbourne Road,GORDON,ABCD,Mar-2025
Omeo Highway,MITTA MITTA,ABCD,Apr-2025
Ontario Avenue,MILDURA,ABCD,Apr-2025
Overton Road,WILLIAMS LANDING,ABCD,Jun-2025
Pakenham Road,PAKENHAM,ABCD,T
Park Street,SOUTH YARRA,ABCD,Apr-2025
Parkhill Road,KEW,ABCD,May-2025
Pascoe Vale Road,COOLAROO,ABCD,T
Pascoe Vale Road,MEADOW HEIGHTS,ABCD,Aug-2024
Perkins Road,LARA,ABCD,Aug-2024
Phillip Island Road,COWES,ABCD,Jan-2025
Phillip Island Road,NEWHAVEN,ABCD,Jan-2025
Phillip Island Road,SAN REMO,ABCD,Jan-2025
Pickles Street,ALBERT PARK,ABCD,Feb-2025
Pitfield-Scarsdale Road,CAPE CLEAR,ABCD,Mar-2025
Pitfield-Scarsdale Road,SPRINGDALLAH,ABCD,Mar-2025
Plenty Road,BUNDOORA,ABCD,T
Plenty Road,MILL PARK,ABCD,T
Plenty Road,RESERVOIR,ABCD,Feb-2025
Plumpton Road,FRASER RISE,ABCD,May-2025
Plumpton Road,PLUMPTON,ABCD,May-2025
Point Cook Road,POINT COOK,ABCD,Jun-2025
Point Nepean Road,ROSEBUD,ABCD,T
Pound Road,HAMPTON PARK,ABCD,Nov-2024
Princes  Freeway,WARRAGUL,ABCD,Dec-2024
Princes  Highway,MOE,ABCD,T
Princes Drive,MORWELL,ABCD,T
Princes Freeway,BUNYIP NORTH,ABCD,T
Princes Freeway,MORWELL,ABCD,T
Princes Freeway,NEWBOROUGH,ABCD,T
Princes Freeway,DROUIN,ABCD,Dec-2024
Princes Freeway,LONGWARRY,ABCD,Dec-2024
Princes Freeway,LONGWARRY NORTH,ABCD,Dec-2024
Princes Freeway,NAR NAR GOON,ABCD,Apr-2025
Princes Highway,FLYNN,ABCD,T
Princes Highway,MOE,ABCD,T
Princes Highway,TRARALGON EAST,ABCD,T
Princes Highway,YARRAGON,ABCD,Sep-2024
Princes Highway,TRARALGON,ABCD,Oct-2024
Princes Highway,BERWICK,ABCD,Nov-2024
Princes Highway,OFFICER,ABCD,Apr-2025
Princes Highway,PAKENHAM,ABCD,Apr-2025
Princes Highway,WERRIBEE,ABCD,Jun-2025
Princes Street,TRARALGON,ABCD,Oct-2024
Princes Street,ARARAT,ABCD,Apr-2025
Princes Way,LONGWARRY NORTH,ABCD,Sep-2024
Princes Way,DROUIN,ABCD,Dec-2024
Princes Way,WARRAGUL,ABCD,Dec-2024
Purnell Road,CORIO,ABCD,Aug-2024
Queen Street,ALTONA,ABCD,T
Queen Street,WARRAGUL,ABCD,Dec-2024
Racecourse Road,COBRAM,ABCD,Jul-2024
Radford Road,RESERVOIR,ABCD,Feb-2025
Ranfurly Way,MILDURA,ABCD,Apr-2025
Ring Road,ALFREDTON,ABCD,Aug-2024
River Avenue,MERBEIN SOUTH,ABCD,Feb-2025
Riverview Drive,KIALLA,ABCD,T
Roberts Street,WEST FOOTSCRAY,ABCD,Jun-2025
Rockbank Middle Road,CAROLINE SPRINGS,ABCD,May-2025
Rowan Street,WANGARATTA,ABCD,Apr-2025
Ryans Road,ELTHAM NORTH,ABCD,Feb-2025
Ryrie Street,EAST GEELONG,ABCD,T
San Mateo Avenue,MILDURA,ABCD,Apr-2025
Sandhurst Road,CALIFORNIA GULLY,ABCD,Apr-2025
Saxton Street,NUMURKAH,ABCD,Jul-2024
Sayers Road,TARNEIT,ABCD,T
Sayers Road,TRUGANINA,ABCD,T
Schoolhall Street,OAKLEIGH,ABCD,Feb-2025
Schotters Road,MERNDA,ABCD,Feb-2025
Scott Parade,BROWN HILL,ABCD,Aug-2024
Seventh Street,MILDURA,ABCD,Apr-2025
Seventh Street E,MILDURA,ABCD,T
Sharps Road,TULLAMARINE,ABCD,Apr-2025
Sixteenth Street,IRYMPLE,ABCD,Apr-2025
Skipton Street,REDAN,ABCD,Aug-2024
Skye Road,FRANKSTON,ABCD,Nov-2024
Smiths Lane,PEARCEDALE,ABCD,Nov-2024
Snake Gully Drive,BUNDOORA,ABCD,T
Snow Road,OXLEY,ABCD,Aug-2024
Somerville Road,SUNSHINE WEST,ABCD,May-2025
South Centre Road,MELBOURNE AIRPORT,ABCD,Apr-2025
South Centre Road,TULLAMARINE,ABCD,Apr-2025
South Gippsland Highway,KOO WEE RUP,ABCD,T
South Gippsland Highway,DANDENONG SOUTH,ABCD,T
South Gippsland Highway,CLYDE,ABCD,Nov-2024
South Gippsland Highway,CRANBOURNE EAST,ABCD,Nov-2024
South Gippsland Highway,DEVON MEADOWS,ABCD,Nov-2024
South Gippsland Highway,LEONGATHA,ABCD,Dec-2024
South Valley Road,HIGHTON,ABCD,Aug-2024
Specimen Hill Road,GOLDEN SQUARE,ABCD,T
Spencer Street,MELBOURNE,ABCD,Apr-2025
Spring Gully Road,SPRING GULLY,ABCD,Apr-2025
Spring Street,PRESTON,ABCD,Feb-2025
Springbank Road,BULLAROOK,ABCD,Mar-2025
Springvale Road,FOREST HILL,ABCD,May-2025
St Aidans Road,KENNINGTON,ABCD,Apr-2025
St Albans Road,ST ALBANS,ABCD,May-2025
St Albans Road,SUNSHINE NORTH,ABCD,May-2025
St Georges Road,CORIO,ABCD,Aug-2024
St Helena Road,ST HELENA,ABCD,Feb-2025
St Kilda Road,ST KILDA,ABCD,Feb-2025
Stanley Road,SILVER CREEK,ABCD,Apr-2025
Station Street,EPSOM,ABCD,Apr-2025
Stawell Road,HORSHAM,ABCD,May-2025
Strickland Road,EAST BENDIGO,ABCD,Apr-2025
Suffolk Street,WEST FOOTSCRAY,ABCD,Jun-2025
Sydney Road,CAMPBELLFIELD,ABCD,Apr-2025
Sydney Road,CRAIGIEBURN,ABCD,Apr-2025
Sydney Road,FAWKNER,ABCD,Apr-2025
Tallarook Street,SEYMOUR,ABCD,T
Tarneit Road,TARNEIT,ABCD,T
Tarneit Road,WERRIBEE,ABCD,T
Taylor Street,ASCOT,ABCD,Apr-2025
Taylors Road,KEILOR DOWNS,ABCD,May-2025
Telford Street,YARRAWONGA,ABCD,Jul-2024
Thompson Road,BANGHOLME,ABCD,T
Thornhill Road,HIGHTON,ABCD,Aug-2024
Todd Road,PORT MELBOURNE,ABCD,T
Tone Road,WANGARATTA,ABCD,Aug-2024
Toorak Road,SOUTH YARRA,ABCD,Mar-2025
Toorak Road,TOORAK,ABCD,Mar-2025
Tooronga Road,GLEN IRIS,ABCD,Mar-2025
Torquay Road,GROVEDALE,ABCD,Aug-2024
Townsend Road,NEWCOMB,ABCD,Aug-2024
Trafalgar-Mirboo North Road,TRAFALGAR SOUTH,ABCD,Dec-2024
Traralgon-Maffra Road,COWWARR,ABCD,May-2025
Trentham Road,KYNETON,ABCD,T
Truemans Road,CAPEL SOUND,ABCD,T
Twenty Second Street,RED CLIFFS,ABCD,Feb-2025
Upper California Gully Road,CALIFORNIA GULLY,ABCD,Apr-2025
Victa Road,EAST BENDIGO,ABCD,Apr-2025
Victoria Road,NORTHCOTE,ABCD,Feb-2025
Victoria Road,THORNBURY,ABCD,Feb-2025
Victoria Street,CARISBROOK,ABCD,May-2025
Waiora Road,HEIDELBERG HEIGHTS,ABCD,Feb-2025
Wallington-Ocean Grove Road,WALLINGTON,ABCD,Aug-2024
Walnut Avenue,MILDURA,ABCD,Apr-2025
Wanda Street,MULGRAVE,ABCD,May-2025
Wangaratta-Whitfield Road,WANGARATTA,ABCD,Aug-2024
Wangaratta-Yarrawonga Road,WALDARA,ABCD,Apr-2025
Warburton Highway,SEVILLE,ABCD,Dec-2024
Warralily Boulevard,ARMSTRONG CREEK,ABCD,Aug-2024
Warrigal Road,HEATHERTON,ABCD,T
Warrigal Road,CHADSTONE,ABCD,T
Watson Street,WALLAN,ABCD,T
Wattle Valley Road,CAMBERWELL,ABCD,May-2025
Webb Dock Drive,PORT MELBOURNE,ABCD,T
Wellington Road,CLAYTON,ABCD,T
Wellington Road,WHEELERS HILL,ABCD,T
Wellington Street,STRATHFIELDSAYE,ABCD,Apr-2025
Wells Road,ASPENDALE GARDENS,ABCD,T
Wells Road,CHELSEA HEIGHTS,ABCD,T
Western Freeway,TRUGANINA,ABCD,T
Western Freeway,BACCHUS MARSH,ABCD,Mar-2025
Western Freeway,BALLAN,ABCD,Mar-2025
Western Freeway,MELTON,ABCD,May-2025
Western Highway,CAROLINE SPRINGS,ABCD,T
Western Highway,WARRENHEIP,ABCD,Jul-2024
Western Highway,BEAUFORT,ABCD,Aug-2024
Western Highway,WINDERMERE,ABCD,Aug-2024
Western Highway,GREAT WESTERN,ABCD,Oct-2024
Western Highway,STAWELL,ABCD,Apr-2025
Western Highway,KANIVA,ABCD,May-2025
Westwood Drive,BURNSIDE,ABCD,May-2025
Westwood Drive,CAROLINE SPRINGS,ABCD,May-2025
Whitelaw Avenue,DELACOMBE,ABCD,Aug-2024
Whittlesea-Yea Road,WHITTLESEA,ABCD,Feb-2025
Wickham Road,HIGHETT,ABCD,T
Williams Road,HORSHAM,ABCD,May-2025
Williamson Street,BENDIGO,ABCD,Apr-2025
Williamsons Road,TEMPLESTOWE,ABCD,Feb-2025
Wiltshire Lane,WINTER VALLEY,ABCD,Apr-2025
Wimmera Highway,MURTOA,ABCD,May-2025
Wimmera Highway,NEWBRIDGE,ABCD,May-2025
Winmalee Road,BALWYN,ABCD,May-2025
Witt Street,YARRAWONGA,ABCD,Jul-2024
Worsley Road,BANGHOLME,ABCD,Aug-2024
Wright Street,SUNSHINE,ABCD,May-2025
Wurundjeri Way,DOCKLANDS,ABCD,Apr-2025
Yarra Boulevard,BURNLEY,ABCD,Apr-2025
Yarra Boulevard,RICHMOND,ABCD,Apr-2025
Yarra Boulevard,KEW,ABCD,May-2025
Auburn Road,HAWTHORN,ABD,May-2025
Main Neerim Road,NEERIM JUNCTION,ABD,Dec-2024
Allies Road,MYERS FLAT,AC,Apr-2025
Ararat-Halls Gap Road,MOYSTON,AC,Oct-2024
Ararat-Halls Gap Road,JALLUKAR,AC,May-2025
Arthurs Creek Road,YAN YEAN,AC,Feb-2025
Balcombe Road,MENTONE,AC,T
Ballarat  Road,ARDEER,AC,May-2025
Ballarat Road,ALBION,AC,May-2025
Bannons Lane,YARRAMBAT,AC,Feb-2025
Barkly Street,FOOTSCRAY,AC,Jun-2025
Barmah-Shepparton Road,ZEERUST,AC,May-2025
Bass Highway,LANG LANG SOUTH,AC,Sep-2024
Beach Road,BEAUMARIS,AC,T
Beaconsfield-Emerald Road,DEWHURST,AC,Apr-2025
Bell Street,COBURG,AC,Apr-2025
Bendigo-Maryborough Road,LOCKWOOD,AC,Apr-2025
Bendigo-Maryborough Road,SHELBOURNE,AC,Apr-2025
Birregurra Forrest  Road,BARWON DOWNS,AC,Aug-2024
Birregurra Forrest Road,MURROON,AC,Aug-2024
Borung Highway,WOOROONOOK,AC,Mar-2025
Bourke Road,CLARINDA,AC,T
Brandy Creek Road,WARRAGUL,AC,Dec-2024
Broadway,RESERVOIR,AC,Feb-2025
Bruthen-Nowa Nowa Road,BRUTHEN,AC,Nov-2024
Calder Highway,BIRDWOODTON,AC,Apr-2025
Calder Highway,HATTAH,AC,Apr-2025
Canterbury Road,BAYSWATER NORTH,AC,Jul-2024
Centenary Drive,MILL PARK,AC,Feb-2025
Centre Dandenong Road,MOORABBIN AIRPORT,AC,T
Centre Road,BENTLEIGH EAST,AC,T
Centre Road,OAKLEIGH SOUTH,AC,T
Cherry Tree Road,PANTON HILL,AC,Feb-2025
Christies Road,LEOPOLD,AC,Aug-2024
Churchill-Traralgon Road,TRARALGON,AC,T
Clarinda Road,CLARINDA,AC,T
Coates Road,LAKES ENTRANCE,AC,Nov-2024
Colac Forrest Road,YEODENE,AC,Aug-2024
Cox Road,NORLANE,AC,Aug-2024
Craigieburn Road,WOLLERT,AC,Feb-2025
Cureton Avenue,MILDURA,AC,Apr-2025
Dingley Bypass,HEATHERTON,AC,T
Doctors Gully Road,DOREEN,AC,Feb-2025
Don Road,BADGER CREEK,AC,Jul-2024
Drage Road,WODONGA,AC,Apr-2025
Dunkeld-Cavendish Road,MOUTAJUP,AC,Apr-2025
Edithvale Road,CHELSEA HEIGHTS,AC,T
Eltham-Yarra Glen Road,CHRISTMAS HILLS,AC,Feb-2025
Emu Creek Road,STRATHFIELDSAYE,AC,Apr-2025
Erskine Road,MACLEOD,AC,Feb-2025
Fifteenth Street,IRYMPLE,AC,Apr-2025
Gardenia Street,HORSHAM,AC,Oct-2024
George Street,SANDRINGHAM,AC,T
Glenelg Highway,LAKE BOLAC,AC,Oct-2024
Glenelg Highway,WICKLIFFE,AC,Oct-2024
Glenelg Highway,WARRAYURE,AC,Apr-2025
Glengarry West Road,GLENGARRY WEST,AC,T
Glenrowan-Myrtleford Road,LACEBY,AC,Apr-2025
Gordon Street,MAIDSTONE,AC,Jun-2025
Gorge Road,SOUTH MORANG,AC,Feb-2025
Goulburn Valley Highway,MOLESWORTH,AC,Apr-2025
Goulburn Valley Hwy,SHEPPARTON NORTH,AC,May-2025
Governor Road,BRAESIDE,AC,T
Grampians Road,MOKEPILLY,AC,Oct-2024
Grange Road,ALPHINGTON,AC,Feb-2025
Grants Road,WHITTLESEA,AC,Feb-2025
Gravesend Street,COLAC,AC,Aug-2024
Great Ocean Road,WONGARRA,AC,Aug-2024
Hallam South Road,HAMPTON PARK,AC,Nov-2024
Hamilton  Highway,WINGEEL,AC,Aug-2024
Hamilton Highway,MURGHEBOLUC,AC,Mar-2025
Hamilton Highway,STONEHAVEN,AC,Mar-2025
Heatherton Road,CLAYTON SOUTH,AC,T
High Street,RESERVOIR,AC,Feb-2025
High Street,GOLDEN SQUARE,AC,Apr-2025
High Street Road,WANTIRNA SOUTH,AC,Mar-2025
Hodder Street,BRIGHTON EAST,AC,T
Hull Road,CROYDON,AC,Jul-2024
Hume Freeway,VIOLET TOWN,AC,T
Hume Freeway,LOCKSLEY,AC,Apr-2025
Hume Freeway,WANGARATTA,AC,Apr-2025
James Mirams Drive,ROXBURGH PARK,AC,Apr-2025
Kangaroo Ground-St Andrews Road,KANGAROO GROUND,AC,Feb-2025
Keon Parade,KEON PARK,AC,Feb-2025
Kiewa Valley Highway,RUNNING CREEK,AC,Oct-2024
Kings Road,ST ALBANS,AC,May-2025
Kulkyne Way,IRAAK,AC,Apr-2025
Lower Dandenong Road,MORDIALLOC,AC,T
Lower Duneed Road,MOUNT DUNEED,AC,Aug-2024
Ludstone Street,HAMPTON,AC,T
Lygon Street,CARLTON NORTH,AC,Jan-2025
Main Road,MONTMORENCY,AC,Feb-2025
Mansfield-Woods Point Road,PIRIES,AC,Oct-2024
Maroondah Highway,BONNIE DOON,AC,Oct-2024
Maroondah Highway,MAINDAMPLE,AC,Oct-2024
Maroondah Highway,BUXTON,AC,Oct-2024
McGrath Road,WYNDHAM VALE,AC,Jun-2025
McIvor Highway,AXEDALE,AC,Apr-2025
Melba Highway,LIMESTONE,AC,Apr-2025
Melbourne-Lancefield Road,CLARKEFIELD,AC,Apr-2025
Melbourne-Lancefield Road,ROMSEY,AC,Apr-2025
Merton-Euroa Road,MERTON,AC,Oct-2024
Metung Road,SWAN REACH,AC,May-2025
Mickleham Road,MICKLEHAM,AC,Apr-2025
Mickleham Road,YUROKE,AC,Apr-2025
Midland Highway,BENALLA,AC,T
Midland Highway,LIMA,AC,T
Midland Highway,BATESFORD,AC,Aug-2024
Midland Highway,MANSFIELD,AC,Oct-2024
Miller Street,EPPING,AC,Feb-2025
Moe-Glengarry Road,YALLOURN NORTH,AC,T
Moe-Willow Grove Road,WILLOW GROVE,AC,Dec-2024
Mount Buller Road,MANSFIELD,AC,Oct-2024
Mount Ridley Road,CRAIGIEBURN,AC,Apr-2025
Murchison-Violet Town Road,ARCADIA SOUTH,AC,Apr-2025
Nicholson Street,ORBOST,AC,Nov-2024
Northern Highway,ARGYLE,AC,Apr-2025
Northern Highway,LADYS PASS,AC,Apr-2025
Oaklands Road,BULLA,AC,Apr-2025
Park Road,CHELTENHAM,AC,T
Pascoe Vale Road,OAK PARK,AC,Apr-2025
Pascoe Vale Road,PASCOE VALE,AC,Apr-2025
Phillip Island Road,SURF BEACH,AC,Sep-2024
Plenty Road,YAN YEAN,AC,Feb-2025
Portarlington Road,MOOLAP,AC,Aug-2024
Princes Freeway,BUNYIP,AC,Apr-2025
Princes Highway,HEYWOOD,AC,Apr-2025
Princes Highway,CLUB TERRACE,AC,May-2025
Princes Highway,GENOA,AC,May-2025
Queens Avenue,CAULFIELD EAST,AC,T
Raglan Street,PRESTON,AC,Feb-2025
Rattray Road,MONTMORENCY,AC,Feb-2025
Remembrance Drive,CARDIGAN,AC,Aug-2024
Reserve Road,CHELTENHAM,AC,T
Reynolds Road,TEMPLESTOWE,AC,May-2025
Riddell Road,SUNBURY,AC,Apr-2025
Selkirk Road,WOODSTOCK,AC,Feb-2025
Shanahan Parade,NEWBOROUGH,AC,T
Sixteenth Street,MILDURA SOUTH,AC,Apr-2025
Somerton Road,BULLA,AC,Apr-2025
Somerton Road,GREENVALE,AC,Apr-2025
South Gippsland Highway,LYNBROOK,AC,Nov-2024
South Gippsland Highway,LANG LANG,AC,Apr-2025
South Gippsland Highway,YARRAM,AC,May-2025
South Road,HAMPTON,AC,T
Springs Road,CLARINDA,AC,T
Springvale Road,KEYSBOROUGH,AC,Aug-2024
Station Street,FAIRFIELD,AC,Feb-2025
Stud Road,ROWVILLE,AC,Mar-2025
Taylors Road,ST ALBANS,AC,May-2025
Thomas Street,BRIGHTON EAST,AC,T
Tooronga Road,HAWTHORN EAST,AC,May-2025
Torbay Street,MACLEOD,AC,Feb-2025
Traralgon West Road,MARYVALE,AC,T
Warburton Highway,WOORI YALLOCK,AC,Dec-2024
Warrigal Road,BENTLEIGH EAST,AC,T
Wattle Glen-Kangaroo Ground Road,KANGAROO GROUND,AC,Feb-2025
Wattletree Road,MALVERN,AC,Feb-2025
Weatherall Road,CHELTENHAM,AC,T
Western Highway,DIMBOOLA,AC,Oct-2024
Western Highway,DRUNG,AC,Oct-2024
Western Highway,LAWLOIT,AC,Oct-2024
Western Highway,MIRAM,AC,Oct-2024
Willowgrove Road,TRAFALGAR,AC,Dec-2024
Wodonga-Yackandandah Road,BARANDUDA,AC,Apr-2025
Woodend-Tylden Road,TYLDEN,AC,Apr-2025
Yallambie Road,YALLAMBIE,AC,Feb-2025
Adam Street,GOLDEN SQUARE,ACD,Apr-2025
Avenue of Honour,WOODEND NORTH,ACD,Apr-2025
Ballarat-Maryborough Road,DAISY HILL,ACD,May-2025
Barkers Road,HAWTHORN EAST,ACD,May-2025
Barkers Road,KEW,ACD,May-2025
Beach Road,SANDRINGHAM,ACD,T
Bellarine Highway,LEOPOLD,ACD,Aug-2024
Bendigo-Pyramid Hill Road,RAYWOOD,ACD,Apr-2025
Blackburn Road,BLACKBURN SOUTH,ACD,May-2025
Burwood Highway,VERMONT SOUTH,ACD,May-2025
Buxton Marysville Road,MARYSVILLE,ACD,Oct-2024
CALDER ALTERNATIVE Highway,RAVENSWOOD,ACD,Apr-2025
Calder Freeway,MALMSBURY,ACD,Jan-2025
Calder Freeway,TARADALE,ACD,Jan-2025
Calder Freeway,KYNETON,ACD,Apr-2025
Calder Freeway,MACEDON,ACD,Apr-2025
Calder Freeway,ELPHINSTONE,ACD,May-2025
Calder Freeway,FARADAY,ACD,May-2025
Calder Freeway,RAVENSWOOD SOUTH,ACD,May-2025
Calder Highway,MAIDEN GULLY,ACD,Apr-2025
Calder Highway,RAVENSWOOD,ACD,Apr-2025
Calder Highway,RAVENSWOOD SOUTH,ACD,May-2025
Canterbury Road,VERMONT,ACD,May-2025
Chapel Street,SOUTH YARRA,ACD,Mar-2025
CRANE Street,JACKASS FLAT,ACD,Apr-2025
Edwards Road,MAIDEN GULLY,ACD,Apr-2025
Fulton Road,BLACKBURN SOUTH,ACD,May-2025
Garnett Road,WHEELERS HILL,ACD,May-2025
Gladesville Boulevard,PATTERSON LAKES,ACD,T
Glenferrie Road,HAWTHORN,ACD,May-2025
Great Alpine Road,EAST WANGARATTA,ACD,Apr-2025
Great Alpine Road,TARRAWINGEE,ACD,Apr-2025
Howitt Street,WARRAGUL,ACD,Dec-2024
Ironbark Road,YARRAMBAT,ACD,Feb-2025
Kilby Road,KEW EAST,ACD,May-2025
Lockwood Road,KANGAROO FLAT,ACD,Apr-2025
Loddon Valley Highway,WOODVALE,ACD,Apr-2025
Mansfield Whitfield Road,BRIDGE CREEK,ACD,Oct-2024
Marong Road,WEST BENDIGO,ACD,Apr-2025
Maroondah Highway,LILYDALE,ACD,Jul-2024
Maryborough-Ballarat Road,TALBOT,ACD,May-2025
Midland Highway,HUNTLY,ACD,Apr-2025
Murray Valley Highway,BAREP,ACD,Apr-2025
Murray Valley Highway,ECHUCA,ACD,Apr-2025
Murray Valley Highway,PEDERICK,ACD,Apr-2025
NORTHERN Highway,ELMORE,ACD,Apr-2025
Olympic Parade,KANGAROO FLAT,ACD,Apr-2025
Princes Freeway,DARNUM,ACD,Dec-2024
Princes Freeway,NILMA,ACD,Dec-2024
Princes Way,LONGWARRY,ACD,Dec-2024
Princess Street,KEW,ACD,May-2025
Sand Road,LONGWARRY,ACD,Dec-2024
Station Street,NUNAWADING,ACD,May-2025
Summerhill Road,GLEN IRIS,ACD,May-2025
Symonds Street,GOLDEN SQUARE,ACD,Apr-2025
Tannery Lane,MANDURANG,ACD,Apr-2025
Wellington Road,LYSTERFIELD,ACD,Jan-2025
Western Highway,BURRUMBEET,ACD,Aug-2024
Clarendon Street,EAST MELBOURNE,AD,Jan-2025
Lansdowne Street,EAST MELBOURNE,AD,Jan-2025
Woods Street,BEACONSFIELD,AD,Apr-2025
Anzac Road,TRAFALGAR,B,Jun-2025
Army Road,PAKENHAM,B,Apr-2025
Atkins Road,PAKENHAM,B,Apr-2025
Barkly Street West,ARARAT,B,May-2025
Baxter-Tooradin Road,PEARCEDALE,B,Nov-2024
Belgrave-Hallam Road,NARRE WARREN NORTH,B,Nov-2024
Brown Road,PAKENHAM,B,Apr-2025
Browns Road,BOTANIC RIDGE,B,Nov-2024
Campbell Street,ARARAT,B,May-2025
Centenary Avenue,MELTON WEST,B,May-2025
Craig Road,DEVON MEADOWS,B,T
Craig Road,CRANBOURNE SOUTH,B,Nov-2024
Duff Street,CRANBOURNE WEST,B,Nov-2024
Eltham-Yarra Glen Road,WATSONS CREEK,B,Feb-2025
Ernst Wanke Road,BERWICK,B,Nov-2024
Esplanade,ALTONA,B,May-2025
Finlayson Street,ROSANNA,B,Feb-2025
Glen Katherine Drive,ST HELENA,B,Feb-2025
Golf Links Road,NARRE WARREN,B,Nov-2024
Grano Street,ARARAT,B,May-2025
Great Alpine Road,OVENS,B,Apr-2025
Greaves Road,NARRE WARREN SOUTH,B,Nov-2024
Green Street,NOBLE PARK,B,Aug-2024
Hawthorn Road,CAULFIELD SOUTH,B,T
Homestead Road,BERWICK,B,Nov-2024
Hosie Road,SHEPPARTON EAST,B,May-2025
Howe Parade,GARDEN CITY,B,Feb-2025
Inverloch-Venus Bay Road,INVERLOCH,B,Sep-2024
Kangaroo Road,MURRUMBEENA,B,T
Koo Wee Rup-Longwarry Road,BAYLES,B,Apr-2025
Lawrence Street,WODONGA,B,Apr-2025
Leppitt Road,PAKENHAM,B,Apr-2025
Lyall Road,BERWICK,B,Nov-2024
Manks Road,CLYDE,B,Nov-2024
Manuka Road,BERWICK,B,Nov-2024
North Road,PEARCEDALE,B,Nov-2024
Pearcedale Road,CRANBOURNE SOUTH,B,Nov-2024
Pearcedale Road,PEARCEDALE,B,Nov-2024
Poath Road,HUGHESDALE,B,T
Power Road,ENDEAVOUR HILLS,B,Nov-2024
Princes Freeway,GARFIELD,B,Apr-2025
Princes Freeway,TYNONG,B,Apr-2025
Princes Freeway,TYNONG NORTH,B,Apr-2025
Queen Street,MAFFRA,B,May-2025
Recreation Road,YAN YEAN,B,Feb-2025
Robinsons Road,PEARCEDALE,B,Nov-2024
Shrives Road,NARRE WARREN,B,Nov-2024
Skyline Road,EILDON,B,Oct-2024
Stawell-Warracknabeal Road,WARRACKNABEAL,B,Oct-2024
Strathallan Road,MACLEOD,B,Feb-2025
Sussex Street,COBURG NORTH,B,Apr-2025
The Eyrie,EAGLEMONT,B,Feb-2025
Tinks Road,NARRE WARREN,B,Nov-2024
Twyford Road,CLYDE,B,Nov-2024
U T Creek Road,ALEXANDRA,B,Oct-2024
Union Street,BRIGHTON EAST,B,T
Upper Heidelberg Road,IVANHOE,B,Feb-2025
UT Creek Road,EILDON,B,Oct-2024
Warneet Road,BLIND BIGHT,B,Nov-2024
Warneet Road,WARNEET,B,Nov-2024
Western Freeway,BUANGOR,B,May-2025
Western Highway,ARARAT,B,May-2025
Westernport Road,LANG LANG,B,Apr-2025
Agar Road,CORONET BAY,BC,Sep-2024
Alexanders Road,MORWELL,BC,T
Alma Street,TOOTGAROOK,BC,Sep-2024
Ambrose Treacy Drive,BUNDOORA,BC,Feb-2025
Anakie Road,BELL PARK,BC,Aug-2024
Apollo Road,TAYLORS LAKES,BC,May-2025
Army Road,PAKENHAM UPPER,BC,Apr-2025
Aughtie Drive,ALBERT PARK,BC,Feb-2025
Avenel Road,SEYMOUR,BC,Apr-2025
Avondale Avenue,ST ALBANS,BC,May-2025
Ballarat Road,RAVENHALL,BC,May-2025
